case_id,stratum,role,cik,form,accession,chars,status
P201,control,control,883902,DEFM14A,0001144204-18-054087,2556292,ok
P202,control,control,1067837,DEFM14A,0001193125-17-311047,1728178,ok
P203,control,control,33619,DEFM14A,0001193125-18-339843,786807,ok
P204,control,control,866121,DEFM14A,0001047469-17-006525,681321,ok
P205,control,control,1017793,DEFM14A,0001193125-17-289525,968236,ok
P206,control,control,8411,DEFM14A,0001047469-17-005317,1051880,ok
P207,control,control,57528,DEFM14A,0001174947-18-000230,774457,ok
P208,control,control,1643848,DEFM14A,0001567619-17-001306,915507,ok
P209,control,control,1588238,DEFM14A,0001047469-17-006341,1301225,ok
P210,control,control,1656239,DEFM14A,0001047469-18-001164,2082816,ok
P211,control,control,1681714,DEFM14A,0001193125-18-357922,1272739,ok
P212,control,control,1530804,DEFM14A,0001567619-17-001809,1150855,ok
P213,control,control,1487730,DEFM14A,0001193125-18-190106,2018178,ok
P214,control,control,1620179,DEFM14A,0001047469-17-004226,2449613,ok
P215,control,control,1331875,DEFM14A,0001047469-17-006453,1163292,ok
P216,control,control,1620702,DEFM14A,0001567619-17-002164,1149047,ok
P217,control,control,703361,DEFM14A,0001193125-18-341203,770573,ok
P218,control,control,50104,DEFM14A,0001193125-18-238276,1388052,ok
P219,control,control,1325281,DEFM14A,0001144204-18-041383,1189724,ok
P220,control,control,54507,DEFM14A,0001193125-17-307179,1510104,ok
P221,control,control,1698990,DEFM14A,0001193125-18-211420,3222655,ok
P222,control,control,1396446,DEFM14A,0001047469-18-004715,1416637,ok
P223,control,control,929452,DEFM14A,0001571049-17-007299,1555386,ok
P224,control,control,909281,DEFM14A,0001193125-17-176922,905363,ok
P225,control,control,1170534,DEFM14A,0001193125-18-187310,947667,ok
P226,control,control,943452,DEFM14A,0001140361-18-040543,1939251,ok
P227,control,control,1418135,DEFM14A,0001047469-18-004118,1745905,ok
P228,control,control,1358831,DEFM14A,0001193125-18-238546,1507394,ok
P229,control,control,1645494,DEFM14A,0001144204-18-065399,845052,ok
P230,control,control,757011,DEFM14A,0001193125-18-255504,935971,ok
P231,control,control,95521,DEFM14A,0001140361-18-038679,768099,ok
P232,control,control,1496048,DEFM14A,0001193125-18-204333,2901485,ok
P233,control,control,1010858,DEFM14A,0001193125-18-134923,2258332,ok
P234,control,control,701853,DEFM14A,0001193125-17-271952,161480,ok
P235,control,control,1065087,DEFM14A,0001144204-17-036873,790715,ok
P236,control,control,1414374,DEFM14A,0001654954-17-011248,791108,ok
P237,control,control,1569134,DEFM14A,0001193125-18-168177,825775,ok
P238,control,control,1143155,DEFM14A,0001571049-17-007906,997992,ok
P239,control,control,1374535,DEFM14A,0001193125-18-239500,2198486,ok
P240,control,control,914374,DEFM14A,0001571049-17-007845,2458522,ok
P241,control,control,1639947,DEFM14A,0001193125-17-224333,1360316,ok
P242,control,control,310568,DEFM14A,0001144204-18-021362,833551,ok
P243,control,control,1062047,DEFM14A,0001140361-18-037148,1211678,ok
P244,control,control,1143068,DEFM14A,0001193125-17-307158,1508285,ok
P245,control,control,1545654,DEFM14A,0001193125-17-285196,779610,ok
P246,control,control,104918,DEFM14A,0001193125-17-301020,731821,ok
P247,control,control,1594617,DEFM14A,0001193125-18-089194,1266016,ok
P248,control,control,1443799,DEFM14A,0001144204-18-027198,1218082,ok
P249,control,control,1254595,DEFM14A,0001193125-17-265999,808718,ok
P250,control,control,1062449,DEFM14A,0001193125-17-380642,729609,ok
P251,control,control,1175609,DEFM14A,0001193125-18-032604,1433340,ok
P252,control,control,1635581,DEFM14A,0001193125-18-110072,895449,ok
P253,control,control,923603,DEFM14A,0001047469-17-004631,1390806,ok
P254,control,control,1507277,DEFM14A,0001047469-17-005768,953459,ok
P255,control,control,1325955,DEFM14A,0001325955-17-000031,1245310,ok
P256,control,control,1024725,DEFM14A,0001193125-18-236739,1283459,ok
P257,control,control,764038,DEFM14A,0001047469-17-005767,951817,ok
P258,control,control,1003642,DEFM14A,0001193125-18-040279,3578487,ok
P259,control,control,1588216,DEFM14A,0001193125-18-186002,1147781,ok
P260,control,control,1308161,DEFM14A,0001193125-18-207641,2102274,ok
P261,control,control,1430602,DEFM14A,0001193125-17-314122,2046170,ok
P262,control,control,1467373,DEFM14A,0001193125-17-370759,430142,ok
P263,control,control,1351541,DEFM14A,0001351541-17-000155,1245354,ok
P264,control,control,1384710,DEFM14A,0001047469-17-005183,687606,ok
P265,control,control,1006424,DEFM14A,0001437749-17-016831,604451,ok
P266,control,control,1579471,DEFM14A,0001193125-17-310310,2270785,ok
P267,control,control,1564657,DEFM14A,0001193125-17-362943,4368126,ok
P268,control,control,1537667,DEFM14A,0001047469-18-007290,1099732,ok
P269,control,control,1476204,DEFM14A,0001626129-17-000444,1619050,ok
P270,control,control,1411488,DEFM14A,0001140361-18-011449,851463,ok
P271,control,control,1408100,DEFM14A,0001193125-17-283232,1011195,ok
P272,control,control,1453818,DEFM14A,0001453818-18-000020,370035,ok
P273,control,control,1297587,DEFM14A,0001047469-18-004781,840819,ok
P274,control,control,1581405,DEFM14A,0001140361-18-037155,2114117,ok
P275,control,control,1455650,DEFM14A,0001193125-17-362938,4368712,ok
P276,control,control,1677203,DEFM14A,0001047469-18-004637,736129,ok
P277,control,control,1390213,DEFM14A,0001047469-18-005936,1517607,ok
P278,control,control,714603,DEFM14A,0001144204-18-011059,862592,ok
P279,control,control,1668428,DEFM14A,0001571049-17-006940,1842533,ok
P280,control,control,1647509,DEFM14A,0001193125-18-298438,916317,ok
P281,control,control,720002,DEFM14A,0001626129-17-000575,890867,ok
P282,control,control,1170991,DEFM14A,0001047469-18-004973,1146993,ok
P283,control,control,1373561,DEFM14A,0001193125-17-355921,2236002,ok
P284,control,control,724606,DEFM14A,0001193125-17-189582,745339,ok
P285,control,control,1047170,DEFM14A,0001571049-17-004905,926462,ok
P286,control,control,1053532,DEFM14A,0001047469-18-006913,1730403,ok
P287,control,control,1060009,DEFM14A,0001193125-18-051132,1289232,ok
P288,control,control,1355096,DEFM14A,0001047469-17-007840,2149036,ok
P289,control,control,1434729,DEFM14A,0001047469-17-007349,1068639,ok
P290,control,control,356028,DEFM14A,0001193125-18-246044,828792,ok
P291,control,control,1569391,DEFM14A,0001047469-17-003764,706955,ok
P292,control,control,87565,DEFM14A,0001193125-18-160804,907784,ok
P293,control,control,1498415,DEFM14A,0001193125-17-327431,1429206,ok
P294,control,control,1682745,DEFM14A,0001047469-18-006535,2708940,ok
P295,control,control,1302343,DEFM14A,0001140361-18-036197,847478,ok
P296,control,control,1735828,DEFM14A,0001193125-18-238437,1507394,ok
P297,control,control,1601545,DEFM14A,0001193125-18-347556,815507,ok
P298,control,control,1476264,DEFM14A,0001193125-17-281975,984961,ok
P299,control,control,1599947,DEFM14A,0001567619-17-001844,2210190,ok
P300,control,control,1518222,DEFM14A,0001193125-17-258576,744783,ok
P301,control,control,920424,DEFM14A,0001047469-18-007677,620319,ok
P302,control,control,39677,DEFM14A,0001193125-18-258270,1051602,ok
P303,control,control,1275283,DEFM14A,0001193125-17-203053,3527174,ok
P304,control,control,1039684,DEFM14A,0001193125-17-176926,906208,ok
P305,control,control,875159,DEFM14A,0001571049-18-000279,759923,ok
P306,control,control,1533932,DEFM14A,0001193125-17-351649,1071417,ok
P307,control,control,726513,DEFM14A,0001047469-17-005567,1182518,ok
P308,control,control,1676479,DEFM14A,0001193125-18-227829,1218030,ok
P309,control,control,865436,DEFM14A,0001571049-17-006849,728789,ok
P310,control,control,791519,DEFM14A,0001047469-17-004941,942445,ok
P311,control,control,1267130,DEFM14A,0001193125-17-193609,1144133,ok
P312,control,control,808461,DEFM14A,0001047469-18-002023,546206,ok
P313,control,control,85408,DEFM14A,0001047469-18-007567,1213048,ok
P314,control,control,277595,DEFM14A,0001193125-18-306638,1217810,ok
P315,control,control,10254,DEFM14A,0000010254-18-000071,1770937,ok
P316,control,control,93859,DEFM14A,0001193125-18-103534,277880,ok
P317,control,control,1412232,DEFM14A,0001193125-17-202703,809351,ok
P318,control,control,1208208,DEFM14A,0001193125-17-210383,1972762,ok
P319,control,control,878560,DEFM14A,0001193125-18-003465,909202,ok
P320,control,control,1610950,DEFM14A,0001193125-17-220226,1566646,ok
P321,control,control,1348259,DEFM14A,0001348259-18-000019,672913,ok
P322,control,control,1568669,DEFM14A,0001047469-18-006280,465571,ok
P323,control,control,1657197,DEFM14A,0001047469-18-005113,961571,ok
P324,control,control,777491,DEFM14A,0001193125-17-338957,1800111,ok
P325,control,control,1590584,DEFM14A,0001193125-18-029739,901978,ok
P326,control,control,1179060,DEFM14A,0001047469-18-007553,1780478,ok
P327,control,control,1520566,DEFM14A,0001193125-18-180666,1422115,ok
P328,control,control,1543643,DEFM14A,0001047469-17-004755,731965,ok
P329,control,control,1157377,DEFM14A,0001193125-17-307521,1288882,ok
P330,control,control,1690769,DEFM14A,0001193125-18-014904,2807565,ok
P331,control,control,754737,DEFM14A,0001193125-18-193204,952729,ok
P332,control,control,799729,DEFM14A,0001193125-17-258029,808914,ok
P333,control,control,1476651,DEFM14A,0001140361-18-041495,966279,ok
P334,control,control,1163199,DEFM14A,0001193125-18-125072,1071503,ok
P335,control,control,1404973,DEFM14A,0001571049-18-000420,702062,ok
P336,control,control,920760,DEFM14A,0001193125-18-003442,909207,ok
P337,control,control,1606363,DEFM14A,0001047469-18-006708,1114133,ok
P338,control,control,1479750,DEFM14A,0000930413-17-002734,1032680,ok
P339,control,control,1172139,DEFM14A,0001193125-18-042797,1376477,ok
P340,control,control,701221,DEFM14A,0001140361-18-032613,1678303,ok
P341,control,control,1698514,DEFM14A,0001493152-18-006365,1686765,ok
P342,control,control,1369817,DEFM14A,0001047469-17-003896,788206,ok
P343,control,control,1615418,DEFM14A,0001552781-18-000472,1039382,ok
P344,control,control,1678531,DEFM14A,0000950123-18-008376,1177572,ok
P345,control,control,1380393,DEFM14A,0001193125-17-197197,1261215,ok
P346,control,control,1027884,DEFM14A,0001193125-18-102136,1571885,ok
P347,control,control,1096385,DEFM14A,0001193125-18-218284,666364,ok
P348,control,control,1610793,DEFM14A,0001193125-17-281924,742435,ok
P349,control,control,793547,DEFM14A,0001193125-18-298223,887192,ok
P350,control,control,1649749,DEFM14A,0001193125-17-225253,884053,ok
