sigma,N,alpha,functional_form,sigma_query_mult,mu_push_mean,mu_push_sd,mu_push_p25,mu_push_p975,mu_pull_mean,mu_pull_sd,mu_pull_p25,mu_pull_p975,mu_alpha_mean,cohens_d,ratio_push_pull,n_trials
0.1,500,0.6,log_quadratic,0.1,0.14613638765454592,0.0029901789432297985,0.14032408910281444,0.152044985148072,0.0007995291605321144,1.778963022389123e-05,0.0007656436093993684,0.0008346472078951809,0.05893427255813765,68.73626057726732,182.7780584729231,10000
0.1,500,0.6,log_quadratic,0.3,0.14612597842440844,0.00298024484979465,0.14038260150407167,0.1520141160396596,0.007169499987317295,0.0001599988196655452,0.006856682377097909,0.007485463400468575,0.06275209136215375,65.84410236546873,20.38161359688994,10000
0.1,500,0.8,quadratic,0.01,0.16005126930350383,0.003558774816312028,0.15315981866707218,0.16699381299881136,8.000066073503752e-06,1.7865856812854334e-07,7.660632752516727e-06,8.352535462926146e-06,0.03201665391355957,63.599236624766846,20006.243427612957,10000
0.1,500,0.8,quadratic,0.1,0.15999033886136446,0.00359645964386086,0.15312871982477907,0.1670836314297892,0.0008001180831493392,1.7974027041660958e-05,0.0007650703298539735,0.0008360368959917213,0.03263816223879236,62.596603338712484,199.95840892837666,10000
0.1,500,0.8,quadratic,0.3,0.16002211733417498,0.0035335917422280837,0.15315278363780152,0.1670312146386123,0.007198632119473083,0.00016007073882871062,0.006885547743119176,0.007512777751112288,0.037763329162413456,61.10033375402434,22.22951731361542,10000
0.1,500,0.8,l1,0.01,0.9028622967825948,0.010683998925245146,0.881996163316143,0.9242933694852455,0.006382360524789524,7.613282809236742e-05,0.0062322302854569975,0.006533234205110745,0.18567834777635053,118.6617394635269,141.46212726088035,10000
0.1,500,0.8,l1,0.1,0.9027248830928088,0.010721555520302994,0.8816501080251985,0.9235340315217513,0.06382352225970775,0.0007629281485712802,0.06233618947515952,0.0653116365032706,0.23160379442632792,110.37515970527338,14.144078094271924,10000
0.1,500,0.8,l1,0.3,0.9028017584202663,0.010749225549167187,0.8819187907933446,0.9242735641873808,0.1914691268450219,0.002285400538446642,0.18696133564148276,0.19595523652480698,0.3337356531600708,91.5398432662697,4.7151296571744865,10000
0.1,500,0.8,log_quadratic,0.01,0.1461387996090821,0.003019318185049437,0.14032875632037722,0.15216898181775446,8.000201986956959e-06,1.7921056519340352e-07,7.65802029970445e-06,8.360203343636992e-06,0.029234160083405975,68.44596871612033,18266.8887419765,10000
0.1,500,0.8,log_quadratic,0.1,0.14615345767227914,0.002983761629994767,0.14043487654285475,0.152029531992453,0.0007995919414731757,1.7871625792093345e-05,0.0007651343591915023,0.000835545824693337,0.02987036508763436,68.89213902588007,182.78505584111394,10000
0.1,500,0.8,log_quadratic,0.3,0.1461597827337219,0.0030046229669566994,0.14024898436329894,0.15207565506634904,0.007167455147969347,0.00015957283537752117,0.006860210169915336,0.007480617610827784,0.03496592066511985,65.32873136566387,20.392144731471568,10000
0.1,500,1.0,quadratic,0.01,0.15999011367068314,0.0035776288776367795,0.15287974949109268,0.16698925070304194,7.997723545265612e-06,1.7844392522871803e-07,7.655131501113642e-06,8.350535242186337e-06,7.997723545265612e-06,63.23989591050256,20004.456613831317,10000
0.1,500,1.0,quadratic,0.1,0.16004828446677924,0.003565907901105044,0.15308981770199295,0.16708964413591232,0.0007999515154384405,1.7855381083034914e-05,0.000765348424156961,0.0008351578513769336,0.0007999515154384405,63.155957820089746,200.07248111663287,10000
0.1,500,1.0,quadratic,0.3,0.15999260220817277,0.0036005959914316835,0.1531061762593946,0.16703962147689824,0.007200964534808888,0.00016040010503166378,0.006894967400308918,0.007521744012569474,0.007200964534808888,59.952828726480824,22.21821832822274,10000
0.1,500,1.0,l1,0.01,0.9028495430152822,0.010816867590474514,0.8818799813403656,0.9238387112445465,0.006383267839604863,7.742457135998426e-05,0.006234396257658472,0.00653763859211046,0.006383267839604863,117.20234886705117,141.44002189812082,10000
0.1,500,1.0,l1,0.1,0.9026990002787679,0.010656667275044353,0.8818112468285432,0.9236065963115664,0.06383054094116569,0.0007734235439935317,0.06232215627962024,0.06537176797163238,0.06383054094116569,111.03161810642683,14.142117346472272,10000
0.1,500,1.0,l1,0.3,0.9026591941588198,0.010865925354819266,0.8814136487721032,0.9241985564244014,0.1915234822642625,0.0022566316014536163,0.1871342759192317,0.19589496547967478,0.1915234822642625,90.62152720948077,4.713047107786701,10000
0.1,500,1.0,log_quadratic,0.01,0.14611637351955978,0.0029894928335692864,0.14029958037362106,0.15212197533839333,8.001910138400352e-06,1.7879931868469562e-07,7.661411644275578e-06,8.351754681852986e-06,8.001910138400352e-06,69.11822567910926,18260.186754455313,10000
0.1,500,1.0,log_quadratic,0.1,0.14609117010868822,0.002979046297419472,0.14041289389836673,0.15213800892760385,0.0007994759376347387,1.8005519782699244e-05,0.000764740297116022,0.0008352674874090498,0.0007994759376347387,68.97164761846933,182.73366743332022,10000
0.1,500,1.0,log_quadratic,0.3,0.14615601208632778,0.002977363253068298,0.14036006722674296,0.15199796778216995,0.0071672134900403394,0.00016008930883923362,0.006858041512921353,0.007484240603346501,0.0071672134900403394,65.92286738896438,20.392306199533227,10000
